Cluster_size,new_trigger,type1,type2
69,2,15,52
69,1,6,62
69,5,63,1
69,1,25,43
69,13,27,29
69,24,42,3
69,1,23,45
69,7,58,4
69,1,20,48
69,1,2,66
69,5,43,21
69,1,20,48
69,1,24,44
69,1,19,49
69,42,26,1
69,1,16,52
69,28,25,16
69,1,11,57
69,8,61,0
69,4,25,40
69,1,25,43
69,22,31,16
68,21,8,39
68,1,27,40
68,40,25,3
68,2,19,47
68,1,17,50
68,1,21,46
68,1,11,56
68,1,12,55
68,1,23,44
68,3,22,43
68,1,13,54
68,1,20,47
68,1,15,52
68,19,46,3
68,1,16,51
68,1,13,54
68,7,61,0
68,6,60,2
68,29,36,3
68,1,5,62
68,18,45,5
68,4,62,2
68,1,13,54
68,1,23,44
67,19,46,2
67,1,11,55
67,12,51,4
67,22,40,5
67,5,23,39
67,1,48,18
67,1,66,0
67,52,11,4
67,1,33,33
67,1,19,47
67,3,29,35
67,15,26,26
67,1,18,48
67,8,29,30
67,14,52,1
67,4,7,56
67,3,39,25
67,2,21,44
67,1,28,38
67,1,11,55
67,1,22,44
67,26,31,10
67,25,41,1
67,1,4,62
67,13,41,13
67,1,34,32
67,1,26,40
67,5,62,0
67,1,13,53
67,3,61,3
67,1,11,55
67,6,39,22
67,6,8,53
67,21,38,8
67,1,19,47
67,22,41,4
67,3,27,37
67,1,22,44
67,1,9,57
67,30,35,2
67,1,16,50
67,9,26,32
67,11,24,32
67,4,32,31
66,32,30,4
66,8,52,6
66,1,10,55
66,1,8,57
66,1,29,36
66,24,36,6
66,1,11,54
66,1,20,45
66,1,17,48
66,6,60,0
66,1,19,46
66,2,21,43
66,30,34,2
66,4,61,1
66,1,7,58
66,1,8,57
66,6,33,27
66,16,44,6
66,5,38,23
66,14,13,39
66,17,1,48
66,5,23,38
66,1,14,51
66,1,18,47
66,10,47,9
66,1,18,47
66,1,9,56
66,23,31,12
66,13,35,18
66,5,50,11
66,4,50,12
66,4,28,34
66,5,38,23
65,1,18,46
65,20,35,10
65,5,8,52
65,1,7,57
65,15,13,37
65,8,57,0
65,1,17,47
65,40,25,0
65,1,34,30
65,1,8,56
65,1,34,30
65,1,11,53
65,1,18,46
65,1,29,35
65,1,9,55
65,1,10,54
65,32,29,4
65,1,5,59
65,48,14,3
65,1,8,56
65,28,23,14
65,1,18,46
65,4,29,32
65,1,2,62
64,3,24,37
64,1,24,39
64,1,5,58
64,1,35,28
64,4,46,14
64,13,48,3
64,5,8,51
64,1,10,53
64,1,7,56
64,33,29,2
64,1,14,49
64,2,62,0
64,1,13,50
64,15,36,13
64,3,47,14
64,1,35,28
64,1,6,57
64,28,33,3
64,2,18,44
64,7,56,1
64,27,30,7
64,2,2,60
64,1,13,50
64,15,11,38
64,2,10,52
64,1,18,45
64,24,31,9
64,1,38,25
64,1,37,26
64,1,17,46
64,16,41,7
64,3,22,39
64,1,6,57
64,6,47,11
64,6,4,54
64,12,33,19
64,3,17,44
63,2,61,0
63,1,9,53
63,1,34,28
63,1,25,37
63,1,62,0
63,35,28,0
63,1,34,28
63,1,19,43
63,6,20,37
63,1,9,53
63,15,45,3
63,1,24,38
63,1,27,35
63,1,28,34
63,29,28,6
63,4,57,2
63,1,6,56
63,1,19,43
63,1,11,51
63,1,23,39
63,1,3,59
63,7,40,16
63,1,20,42
63,2,61,0
63,16,47,0
63,1,21,41
63,1,13,49
63,1,15,47
63,24,30,9
63,2,17,44
63,2,23,38
63,7,30,26
62,2,6,54
62,11,13,38
62,32,28,2
62,1,20,41
62,1,4,57
62,1,2,59
62,1,36,25
62,1,12,49
62,1,14,47
62,14,44,4
62,1,20,41
62,10,51,1
62,1,8,53
62,1,44,17
62,1,38,23
62,1,33,28
62,1,31,30
62,1,11,50
62,1,25,36
62,19,34,9
62,3,13,46
62,1,13,48
62,29,33,0
62,1,3,58
62,1,21,40
62,1,18,43
62,22,37,3
62,1,8,53
62,13,47,2
62,1,19,42
62,1,11,50
62,1,9,52
62,30,31,1
62,1,13,48
62,1,17,44
