Cluster tag,size
0.85.187.114,412
0.87.10.75,411
0.226.180.91,411
1.62.185.237,410
0.99.199.252,406
0.86.0.88,405
0.86.22.225,405
0.86.73.3,405
0.85.187.53,404
0.86.13.10,403
0.89.118.53,403
0.87.0.209,401
0.221.74.134,401
0.85.222.210,400
0.214.145.83,400
0.216.46.247,400
0.85.206.244,399
0.85.235.72,399
0.86.82.131,399
0.86.47.102,398
0.85.188.255,396
0.86.58.43,396
0.86.21.136,395
0.214.137.166,392
0.85.235.230,391
0.214.201.177,391
0.85.203.41,388
0.92.4.200,386
0.86.5.108,386
0.85.226.122,384
0.229.84.40,382
0.86.231.151,381
0.214.97.253,380
0.86.104.12,379
0.85.235.8,376
1.32.135.189,376
0.197.120.127,376
0.85.243.130,372
0.86.187.84,372
0.85.206.184,369
0.85.188.238,367
0.89.227.180,365
0.86.35.38,364
0.86.106.8,363
0.215.133.217,363
0.85.187.61,362
0.87.149.152,358
0.217.64.18,356
0.85.196.127,354
0.86.254.112,353
0.251.149.92,353
1.11.130.59,352
0.85.189.26,350
0.214.82.188,349
0.93.110.238,348
0.85.197.33,345
0.86.48.23,345
0.215.60.220,344
0.98.223.32,343
0.85.230.155,343
0.86.150.6,342
0.95.112.47,341
0.88.5.183,339
0.214.198.70,339
0.85.198.81,337
0.85.251.42,337
50.87.224.215,336
0.86.41.67,336
0.86.225.123,336
0.85.200.148,335
0.86.46.115,334
0.85.193.184,334
0.86.82.15,331
0.86.34.159,330
0.85.212.60,329
0.85.223.204,329
0.87.73.100,327
0.85.199.30,324
0.85.214.120,323
0.85.202.180,322
0.214.142.2,322
0.86.76.16,321
0.85.193.239,320
0.85.230.59,319
0.214.81.99,319
0.215.184.147,319
0.85.197.250,318
0.85.190.218,317
0.85.230.143,317
0.86.3.81,317
0.86.194.149,317
0.86.140.171,317
0.214.110.192,317
0.86.187.128,316
0.86.207.79,315
0.86.14.158,315
0.87.200.20,314
0.85.229.174,314
0.85.238.46,313
0.214.74.3,313
0.217.88.18,313
0.86.101.252,311
0.85.197.101,311
0.86.84.101,311
0.86.64.208,310
0.216.173.142,309
0.85.252.237,308
0.215.118.127,308
0.85.211.207,307
0.85.223.185,306
0.118.38.79,305
0.216.148.207,305
0.85.229.85,304
0.86.45.80,304
1.31.147.103,304
0.86.8.89,303
0.86.73.104,302
0.86.98.204,302
0.216.124.156,301
0.85.230.254,300
0.85.199.228,299
0.86.176.192,297
0.85.245.212,294
0.86.3.4,294
0.213.108.71,294
0.86.117.1,292
1.32.136.233,292
0.87.208.1,290
0.219.120.53,288
0.229.94.110,288
0.88.63.130,287
0.85.220.14,286
0.85.194.128,286
0.85.193.93,285
0.85.223.14,284
0.195.71.178,283
0.86.38.60,282
0.85.223.193,279
0.86.106.90,278
0.85.229.155,276
0.86.96.11,276
0.85.238.145,275
0.86.134.145,275
0.89.64.117,275
0.216.36.65,275
0.86.28.88,272
0.86.4.36,270
1.40.94.47,270
0.85.189.248,269
0.85.205.72,269
0.86.2.235,269
0.85.237.28,269
96.125.174.28,269
0.85.227.92,268
0.90.221.186,268
0.215.209.160,267
0.85.189.245,266
0.85.195.255,264
0.86.14.223,261
0.86.194.150,261
0.86.133.221,261
1.15.109.239,261
0.85.220.194,260
0.86.118.197,259
0.86.199.15,259
0.86.11.215,258
0.87.63.210,258
0.86.1.63,257
0.85.188.244,257
0.92.240.52,257
0.85.201.68,256
0.215.88.70,255
0.217.39.197,255
0.86.224.94,253
0.86.24.173,253
0.234.115.99,252
0.87.24.150,251
0.86.127.225,250
0.85.248.138,250
50.87.224.165,249
0.0.0.0,249
50.87.225.157,248
0.214.167.36,248
0.85.189.158,247
0.86.96.156,247
0.86.115.234,247
0.89.105.94,247
0.86.46.88,246
0.85.227.137,245
1.31.98.154,245
0.85.187.189,244
0.87.167.4,244
0.85.224.62,243
0.214.255.94,243
0.216.148.98,243
0.86.103.231,242
0.86.66.191,242
50.87.224.172,242
50.87.172.239,241
0.85.187.23,241
0.86.239.164,241
0.93.59.79,240
0.85.190.32,238
0.85.249.35,237
0.85.190.24,236
0.86.57.79,236
0.97.181.70,236
0.85.191.150,235
0.85.231.22,235
0.85.223.250,234
0.86.15.204,234
0.85.188.180,234
0.92.62.0,234
0.223.217.104,233
0.88.201.19,232
0.85.203.1,231
0.86.41.119,231
0.85.205.128,230
0.88.15.155,230
0.86.148.70,229
0.215.207.107,229
0.85.246.182,228
0.91.35.25,228
0.217.169.49,228
0.85.252.215,226
0.86.66.184,226
0.85.185.20,226
0.86.44.39,225
0.86.70.30,225
0.87.48.107,225
0.224.209.207,225
0.85.202.40,224
0.85.203.232,224
0.216.52.80,224
0.86.167.201,223
0.89.226.182,223
0.86.67.68,222
0.86.104.11,221
0.87.32.164,221
0.86.177.28,220
0.87.174.35,220
0.85.231.117,219
0.85.227.194,219
0.87.252.104,217
0.85.233.33,216
0.87.65.81,216
0.214.178.105,216
0.87.236.228,215
0.92.146.239,215
0.216.148.163,213
0.86.92.251,212
0.86.85.42,212
0.85.247.111,211
0.86.25.117,211
0.123.242.94,211
1.32.136.241,211
0.85.224.230,210
0.86.191.28,210
0.87.2.207,210
0.190.130.118,210
0.234.5.251,209
50.87.253.164,208
0.86.96.17,208
0.87.165.114,208
0.216.129.201,207
0.89.253.10,206
0.86.62.153,205
0.90.189.229,205
0.223.228.139,205
0.85.233.68,204
0.87.15.198,204
0.85.239.230,203
0.85.244.164,203
0.86.151.27,203
50.87.192.179,202
0.86.40.58,202
0.88.212.19,202
0.91.30.33,202
0.85.205.92,201
50.87.253.152,201
1.32.127.45,201
0.85.233.90,200
0.86.87.0,200
1.38.230.190,200
50.87.224.186,198
0.88.23.78,198
0.224.248.28,198
0.87.187.125,197
0.214.220.149,197
0.85.205.32,196
0.86.102.3,196
0.87.210.154,196
0.86.149.38,195
0.86.70.226,195
0.217.133.37,195
0.216.148.213,195
0.216.125.56,194
0.86.61.213,193
0.86.146.253,193
50.87.253.221,192
0.85.218.249,192
50.87.253.155,192
50.87.176.197,192
0.215.188.35,192
0.110.40.194,191
0.86.30.250,190
0.87.37.245,190
0.87.109.193,190
0.89.50.151,190
0.215.182.250,190
1.35.185.74,190
0.215.73.116,190
50.87.142.46,189
0.85.217.200,188
0.86.174.38,188
1.11.129.199,188
0.85.218.44,187
0.89.130.33,187
1.35.187.69,187
0.229.81.192,187
0.86.21.208,186
0.226.183.49,186
0.88.189.62,185
0.86.101.223,185
0.86.90.148,184
50.87.253.245,184
0.111.184.222,184
1.40.90.222,183
50.87.171.234,181
0.85.196.167,180
0.85.191.132,180
67.20.112.81,180
0.89.50.174,180
0.86.87.158,179
50.87.253.149,179
50.87.253.203,178
0.86.108.119,178
0.88.22.180,176
0.92.79.145,176
0.215.217.5,176
50.87.253.179,175
50.87.253.197,175
0.96.93.99,175
0.86.9.130,174
0.85.225.148,174
50.87.253.206,173
173.254.88.30,173
0.86.165.166,173
0.86.161.154,173
0.87.74.28,173
0.89.230.157,173
0.95.246.1,173
0.86.62.143,173
0.87.185.187,173
50.87.216.37,172
0.85.228.0,172
0.88.161.30,172
0.214.166.67,172
0.216.130.21,172
0.86.42.219,171
0.86.126.119,171
0.87.45.92,171
0.87.209.6,171
0.86.158.191,171
0.85.233.115,170
0.86.102.141,170
0.102.60.69,170
173.254.104.74,169
0.86.78.98,169
0.85.240.161,169
0.87.30.229,169
0.87.60.71,169
0.85.247.248,168
0.87.180.112,168
0.89.114.79,168
0.85.255.214,167
0.86.16.66,167
0.96.43.228,167
0.219.104.185,167
0.216.4.64,167
0.86.23.9,166
0.86.86.20,166
0.85.236.25,166
0.85.190.40,166
0.88.161.97,166
0.214.130.63,166
0.214.107.239,166
0.215.108.13,166
0.221.234.69,166
0.85.243.70,165
0.86.15.27,165
50.87.176.106,165
0.85.205.238,165
67.20.115.90,165
0.90.177.251,165
0.86.77.34,164
0.216.111.229,163
0.85.185.132,162
50.87.253.167,162
0.86.98.118,162
0.215.210.167,162
0.86.253.66,161
50.87.192.171,160
0.85.233.156,160
0.87.93.154,160
0.91.10.132,160
50.87.216.65,159
0.86.198.123,159
0.86.209.245,158
0.86.38.151,158
0.96.234.180,158
0.178.242.54,158
50.87.253.137,157
0.87.121.103,157
0.85.195.68,157
0.151.39.199,157
0.214.175.16,157
50.87.253.182,156
0.85.196.219,156
50.116.64.83,155
0.86.134.1,155
0.217.8.80,155
50.87.253.194,154
0.214.91.62,154
0.214.253.252,154
50.87.225.37,153
0.86.135.16,152
0.88.255.203,152
0.85.195.89,151
50.87.253.101,151
0.86.21.38,151
0.86.130.85,151
50.87.253.146,151
0.86.254.81,151
0.86.76.136,151
0.87.90.97,151
0.214.135.103,151
0.221.74.122,151
0.85.206.71,150
0.85.200.99,150
0.85.240.134,150
0.88.193.30,150
0.88.183.62,150
0.86.26.124,149
1.11.101.134,149
0.215.133.216,149
0.219.105.88,149
0.86.0.67,148
0.86.19.220,148
0.85.243.153,148
0.89.12.132,148
0.89.140.28,148
0.214.169.234,148
0.85.195.78,147
50.87.253.200,147
0.88.0.23,147
0.92.246.254,147
1.42.163.150,147
0.85.200.85,146
50.87.239.188,146
0.86.94.41,146
0.87.93.123,146
0.215.242.87,146
0.216.152.80,146
0.85.187.43,145
0.86.122.203,145
0.86.35.36,145
0.97.11.24,145
0.85.246.156,145
0.214.171.116,145
0.85.211.77,144
0.86.233.183,144
0.88.162.133,144
0.86.17.133,143
0.214.166.120,143
0.215.155.139,143
0.85.201.116,142
0.86.143.56,142
50.87.225.16,142
0.88.103.192,142
0.86.38.201,141
0.85.248.40,140
0.85.228.111,139
50.87.176.114,139
50.87.176.30,139
0.88.245.141,139
1.40.100.209,139
0.87.166.16,138
50.87.224.149,137
0.85.248.153,137
0.85.251.63,137
50.87.224.159,137
0.85.202.177,136
0.93.127.59,136
0.85.204.117,136
50.87.253.188,136
0.217.42.140,136
0.216.15.177,136
0.85.207.195,135
50.87.225.58,135
0.87.12.126,135
50.87.227.183,135
50.87.253.71,135
0.87.216.32,135
0.86.31.31,134
0.86.65.116,134
0.86.199.11,134
50.87.253.77,134
67.20.113.177,134
50.87.216.15,133
50.87.253.209,133
0.86.224.193,133
0.88.61.0,133
0.85.192.146,132
173.254.104.138,132
0.219.123.195,132
0.86.119.78,131
50.87.171.166,131
0.85.242.149,131
0.85.225.102,131
0.86.71.52,131
0.86.91.254,131
1.11.102.152,131
0.217.147.87,131
50.87.253.92,130
0.86.91.188,130
50.87.225.217,129
0.85.208.158,129
0.87.114.128,129
0.130.218.4,129
0.216.95.191,129
0.86.5.27,128
0.85.251.139,128
0.100.164.227,128
0.88.79.61,128
0.215.165.9,128
1.40.108.68,128
0.85.208.253,127
173.254.88.118,127
0.86.227.195,127
0.95.199.82,127
0.85.209.128,126
0.86.30.204,126
50.87.253.242,126
0.87.116.138,126
0.86.31.192,126
0.87.215.130,126
0.85.225.86,125
50.87.253.80,125
0.86.52.104,125
0.86.59.211,125
50.87.253.74,125
50.87.136.197,125
0.103.48.112,125
173.254.104.65,124
0.87.80.14,124
0.87.75.106,124
50.116.65.49,124
50.87.239.235,124
0.217.139.52,123
50.87.253.89,122
0.86.56.189,122
50.87.253.125,122
67.20.113.110,122
0.86.92.185,122
208.98.40.79,122
173.254.104.55,122
0.90.1.248,122
0.87.79.50,122
0.214.168.11,122
0.86.150.149,121
0.85.245.169,121
0.129.156.26,121
173.254.104.106,120
0.86.230.219,120
0.86.62.135,120
0.216.168.4,120
0.217.146.156,120
50.87.253.83,119
0.85.210.206,119
0.86.163.228,119
70.40.217.40,119
173.254.88.148,119
50.87.253.116,119
50.87.225.151,119
0.101.12.173,119
0.214.77.2,119
99.83.175.80,118
67.20.113.129,118
0.85.184.151,118
0.87.82.14,118
0.86.111.145,118
0.86.199.246,117
50.87.253.95,117
0.86.159.108,117
0.86.222.96,117
0.103.60.168,117
0.214.191.238,117
173.254.31.182,116
0.85.227.220,116
0.86.17.114,116
50.87.253.239,116
50.87.253.86,116
0.86.208.12,116
0.86.232.135,116
0.87.77.28,116
0.87.195.238,116
50.87.181.34,115
173.254.104.88,115
0.85.230.204,115
0.214.104.233,115
0.85.227.159,114
0.85.222.156,114
50.87.216.45,114
67.20.113.170,114
0.85.243.235,114
0.86.113.199,114
0.86.41.199,114
0.87.0.166,114
0.86.200.188,113
67.20.113.187,113
0.88.193.56,113
0.89.190.220,113
0.130.206.217,113
0.215.241.101,113
50.87.176.81,112
50.87.253.107,112
0.87.196.226,112
0.87.188.111,112
0.86.97.181,112
50.87.253.143,112
0.215.208.158,112
173.254.104.158,111
0.88.184.161,111
0.85.214.167,111
0.86.187.177,111
50.87.253.98,110
0.86.40.48,110
0.86.9.104,110
0.88.111.30,110
67.20.112.233,110
0.217.71.138,110
1.57.39.1,110
0.85.207.97,109
0.86.111.215,109
67.20.113.163,109
0.86.50.128,109
0.86.137.164,109
67.20.112.63,109
0.87.247.133,109
0.85.227.4,109
0.90.45.77,109
0.85.185.178,108
50.87.176.19,108
0.109.37.234,108
0.215.170.135,108
0.217.83.12,108
0.85.197.138,107
0.86.60.182,107
0.122.34.43,107
0.86.58.184,106
0.86.59.228,106
0.87.70.6,106
0.87.14.41,106
0.87.119.214,106
0.88.222.38,106
0.88.26.241,106
0.216.94.17,106
0.86.1.124,105
0.87.18.172,105
50.87.253.110,105
0.87.19.192,105
50.87.221.130,105
0.89.183.163,105
0.95.254.75,105
0.217.152.60,105
0.223.253.164,105
0.86.195.145,104
0.86.5.56,104
162.241.248.20,104
0.86.209.90,104
0.87.82.107,104
0.86.57.90,104
0.87.74.184,104
0.96.95.224,104
67.20.114.105,104
66.81.199.65,104
0.217.153.38,104
0.86.153.25,103
67.20.113.136,103
50.87.253.104,103
74.220.219.198,103
67.222.38.64,103
50.87.176.45,103
0.89.34.118,102
173.254.104.26,102
173.254.104.34,102
0.100.216.203,102
0.88.222.35,102
0.216.150.102,102
0.86.193.109,101
0.88.174.156,101
0.88.222.39,101
0.221.189.126,101
50.87.253.227,100
173.254.29.47,100
50.87.182.201,100
0.85.184.218,100
0.88.11.137,100
0.87.198.151,100
0.88.20.116,100
0.85.179.140,100
0.85.185.72,99
0.86.37.187,99
0.86.129.16,99
173.254.31.175,99
0.86.167.188,99
0.87.146.102,99
0.86.191.55,99
0.86.31.191,99
0.92.60.77,99
162.215.117.184,99
0.90.14.35,99
173.254.29.87,98
0.85.225.34,98
0.86.156.28,98
0.86.136.9,98
0.86.162.180,98
0.86.233.121,98
0.86.219.242,98
0.86.116.148,98
0.86.227.223,98
0.91.30.156,98
0.214.160.160,98
0.215.207.137,98
0.231.147.173,98
50.87.192.144,97
0.86.224.31,97
50.87.253.134,97
0.86.109.172,97
173.254.31.164,97
173.254.104.194,97
0.89.238.102,97
0.85.226.161,97
0.86.106.125,96
0.86.129.7,96
0.86.193.97,96
128.199.82.247,96
0.88.219.240,96
0.98.176.24,96
0.86.53.231,96
1.35.144.158,96
173.254.29.56,95
0.87.247.0,95
0.86.125.108,95
0.86.228.151,95
0.87.13.175,95
0.87.190.76,95
0.86.92.36,95
0.89.234.231,95
0.88.30.4,95
0.92.98.215,95
0.130.212.161,95
0.215.58.63,95
0.86.43.155,94
0.86.51.102,94
67.222.39.92,94
0.87.94.219,94
0.88.11.138,94
0.96.145.214,94
0.214.162.115,94
0.214.167.208,94
0.215.202.64,94
0.222.197.37,94
198.57.247.221,93
0.86.218.145,93
0.88.53.35,93
0.88.121.52,93
0.89.126.145,93
0.231.147.182,93
0.86.185.80,92
0.85.211.75,92
0.94.38.212,92
0.86.15.81,92
50.87.192.155,92
0.86.67.172,92
0.86.128.180,92
0.86.150.138,92
0.86.190.142,92
67.222.39.95,92
0.86.88.250,92
0.95.153.255,92
0.116.108.35,92
0.85.203.218,91
0.85.243.65,91
0.86.157.210,91
0.86.97.49,91
0.89.59.177,91
0.86.92.43,91
0.87.13.188,91
0.86.8.172,91
50.87.253.119,91
0.98.152.40,91
0.129.48.171,91
0.152.17.80,91
0.214.172.103,91
0.214.203.41,91
0.215.208.224,91
0.85.241.146,90
0.86.76.83,90
0.87.190.3,90
0.85.244.70,90
0.88.220.130,90
0.87.86.0,90
1.29.106.209,90
0.85.190.215,89
0.85.216.142,89
